Postcode_District,affordability
HD9,Can't buy can rent
HG1,Can't buy can rent
HG2,Can't buy can rent
HG3,Can't buy can rent
HG4,Can't buy can rent
HG5,Can't buy can rent
HP1,Can't buy can rent
HP10,Can't buy can rent
HP11,Can buy can rent
HP12,Can't buy can rent
HP13,Can't buy can rent
HP14,Can't buy can rent
HP15,Can't buy can rent
HP16,Can't buy can't rent
HP17,Can't buy can rent
HP18,Can't buy can rent
HP19,Can buy can rent
HP2,Can't buy can rent
HP20,Can buy can rent
HP21,Can't buy can rent
HP22,Can't buy can rent
HP23,Can't buy can rent
HP27,Can't buy can rent
HP3,Can't buy can rent
HP4,Can't buy can rent
HP5,Can't buy can rent
HP6,Can't buy can't rent
HP7,Can't buy can't rent
HP8,Can't buy can't rent
HP9,Can't buy can't rent
HR1,Can't buy can rent
HR2,Can't buy can rent
HR3,Can't buy can rent
HR4,Can't buy can rent
HR5,Can't buy can rent
HR6,Can't buy can rent
HR7,Can't buy can rent
HR8,Can't buy can rent
HR9,Can't buy can rent
HU1,Can buy can rent
HU10,Can't buy can rent
HU11,Can buy can rent
HU12,Can buy can rent
HU13,Can buy can rent
HU14,Can't buy can rent
HU15,Can buy can rent
HU16,Can buy can rent
HU17,Can buy can rent
HU18,Can buy can rent
HU19,Can buy can rent
HU2,Can buy can rent
HU3,Can buy can rent
HU4,Can buy can rent
HU5,Can buy can rent
HU6,Can buy can rent
HU7,Can buy can rent
HU8,Can buy can rent
HU9,Can buy can rent
HX1,Can buy can rent
HX2,Can buy can rent
HX3,Can buy can rent
HX4,Can buy can rent
HX5,Can buy can rent
HX6,Can buy can rent
HX7,Can buy can rent
IG1,Can't buy can rent
IG10,Can't buy can't rent
IG11,Can buy can rent
IG2,Can't buy can rent
IG3,Can't buy can rent
IG4,Can't buy can rent
IG5,Can't buy can rent
IG6,Can't buy can't rent
IG7,Can't buy can't rent
IG8,Can't buy can't rent
IG9,Can't buy can't rent
IP1,Can buy can rent
IP11,Can't buy can rent
IP12,Can't buy can rent
IP13,Can't buy can rent
IP14,Can't buy can rent
IP16,Can buy can rent
IP17,Can't buy can rent
IP18,Can't buy can rent
IP19,Can't buy can rent
IP2,Can buy can rent
IP20,Can't buy can rent
IP21,Can't buy can rent
IP22,Can't buy can rent
IP23,Can't buy can rent
IP24,Can buy can rent
IP25,Can buy can rent
IP26,Can't buy can rent
IP27,Can buy can rent
IP28,Can't buy can rent
IP29,Can't buy can rent
IP3,Can buy can rent
IP30,Can't buy can rent
IP31,Can't buy can rent
IP32,Can't buy can rent
IP33,Can't buy can rent
IP4,Can buy can rent
IP5,Can't buy can rent
IP6,Can't buy can rent
IP7,Can't buy can rent
IP8,Can't buy can rent
IP9,Can't buy can rent
IV12,Can buy can rent
IV15,Can buy can rent
IV2,Can buy can rent
IV3,Can buy can rent
IV30,Can buy can rent
IV31,Can buy can rent
IV36,Can buy can rent
KA1,Can buy can rent
KA10,Can buy can rent
KA11,Can buy can rent
KA12,Can buy can rent
KA13,Can buy can rent
KA18,Can buy can rent
KA19,Can buy can rent
KA20,Can buy can rent
KA21,Can buy can rent
KA22,Can buy can rent
KA24,Can buy can rent
KA25,Can buy can rent
KA26,Can buy can rent
KA3,Can buy can rent
KA30,Can buy can rent
KA4,Can buy can rent
KA5,Can buy can rent
KA6,Can buy can rent
KA7,Can buy can rent
KA8,Can buy can rent
KA9,Can buy can rent
KT1,Can't buy can't rent
KT10,Can't buy can't rent
KT11,Can't buy can't rent
KT12,Can't buy can rent
KT13,Can't buy can't rent
KT14,Can't buy can't rent
KT15,Can't buy can rent
KT16,Can't buy can rent
KT17,Can't buy can't rent
KT18,Can't buy can't rent
KT19,Can't buy can't rent
KT2,Can't buy can't rent
KT20,Can't buy can't rent
KT21,Can't buy can't rent
KT22,Can't buy can rent
KT23,Can't buy can rent
KT24,Can't buy can't rent
KT3,Can't buy can't rent
KT4,Can't buy can rent
KT5,Can't buy can rent
KT6,Can't buy can rent
KT7,Can't buy can't rent
KT8,Can't buy can't rent
KT9,Can't buy can rent
KW14,Can buy can rent
KY1,Can buy can rent
KY10,Can buy can rent
KY11,Can buy can rent
KY12,Can buy can rent
KY13,Can buy can rent
KY15,Can buy can rent
KY16,Can't buy can rent
KY2,Can buy can rent
KY3,Can buy can rent
KY4,Can buy can rent
KY5,Can buy can rent
KY6,Can buy can rent
KY7,Can buy can rent
KY8,Can buy can rent
L1,Can buy can rent
L10,Can buy can rent
L11,Can buy can rent
L12,Can buy can rent
L13,Can buy can rent
L14,Can buy can rent
L15,Can buy can rent
L16,Can't buy can rent
L17,Can buy can rent
L18,Can't buy can rent
L19,Can buy can rent
L2,Can buy can rent
L20,Can buy can rent
L21,Can buy can rent
L22,Can buy can rent
L23,Can't buy can rent
L24,Can buy can rent
L25,Can buy can rent
L26,Can buy can rent
L3,Can buy can rent
L30,Can buy can rent
L31,Can buy can rent
L32,Can buy can rent
L33,Can buy can rent
L34,Can buy can rent
L35,Can buy can rent
L36,Can buy can rent
L37,Can't buy can rent
L39,Can't buy can rent
L4,Can buy can rent
L40,Can't buy can rent
L5,Can buy can rent
L6,Can buy can rent
L7,Can buy can rent
L8,Can buy can rent
L9,Can buy can rent
LA1,Can buy can rent
LA11,Can't buy can rent
LA12,Can't buy can rent
LA13,Can buy can rent
LA14,Can buy can rent
LA15,Can buy can rent
LA18,Can buy can rent
LA2,Can't buy can rent
LA22,Can't buy can rent
LA23,Can't buy can rent
LA3,Can buy can rent
LA4,Can buy can rent
LA5,Can't buy can rent
LA6,Can't buy can rent
LA7,Can't buy can rent
LA8,Can't buy can rent
LA9,Can't buy can rent
LD1,Can't buy can rent
LD2,Can't buy can rent
LD3,Can't buy can rent
LD7,Can't buy can rent
LE1,Can buy can rent
LE10,Can't buy can rent
LE11,Can buy can rent
LE12,Can't buy can rent
LE13,Can buy can rent
LE14,Can't buy can rent
LE15,Can't buy can rent
LE16,Can't buy can rent
LE17,Can't buy can rent
LE18,Can't buy can rent
LE19,Can't buy can rent
LE2,Can buy can rent
LE3,Can buy can rent
LE4,Can't buy can rent
LE5,Can't buy can rent
LE6,Can't buy can rent
LE65,Can't buy can rent
LE67,Can't buy can rent
LE7,Can't buy can rent
